Name	OOP	DSA	PC	WP	IS	NLP
A	79	79	91	82	75	79
B	95	76	95	91	83	80
C	84	94	84	76	83	82
D	97	75	98	81	89	88
E	86	89	78	79	82	95
F	88	96	77	85	96	80
G	88	91	96	98	81	84
H	81	78	76	80	91	80
I	99	86	78	80	89	83
J	76	96	97	78	86	83
K	93	98	84	84	94	95
L	99	78	99	80	99	78
M	95	87	93	92	84	80
N	95	76	92	80	97	82
O	85	90	90	98	96	90
P	84	75	92	87	84	90
Q	87	93	87	84	77	77
R	99	83	89	99	77	80
S	75	82	97	89	98	85
T	91	87	84	93	87	77
U	75	95	82	95	84	79
V	75	77	80	92	95	94
W	80	76	75	78	77	77
X	90	95	86	77	76	80
Y	83	80	78	81	93	80
Z	84	99	99	87	88	77
AA	75	85	81	94	80	98
BB	90	93	82	97	82	87
CC	94	92	86	88	91	88
DD	75	96	76	84	86	83
EE	95	75	87	84	87	78
FF	81	78	91	77	78	93
GG	77	97	87	78	77	86
HH	91	93	97	99	85	83
II	87	91	89	97	97	83
JJ	97	75	95	77	80	89
KK	87	85	76	78	97	77
LL	85	97	81	97	91	97
MM	94	75	97	93	95	79
NN	96	82	76	75	82	81
OO	84	91	91	96	86	85
PP	79	85	75	81	81	79
QQ	94	76	88	77	90	84
RR	89	90	94	79	79	88
SS	95	81	76	84	84	89
TT	87	79	97	79	90	84
UU	94	81	88	82	87	88
VV	88	99	89	75	78	96
WW	77	78	89	75	97	98
XX	99	77	75	79	92	92
YY	78	86	94	93	82	88
ZZ	76	91	82	95	88	84
AAA	78	81	80	80	84	75
BBB	85	94	78	86	96	95
CCC	88	87	89	84	92	81
DDD	99	87	80	88	76	94
EEE	91	84	91	82	93	88
FFF	81	89	85	82	92	83
GGG	92	75	76	75	82	81
HHH	79	84	96	95	92	77
III	98	85	91	94	80	93
JJJ	97	85	98	97	81	99
KKK	81	90	99	96	90	79
LLL	95	90	94	89	99	88
MMM	77	86	90	93	92	94
NNN	88	87	89	99	91	99
OOO	88	96	81	95	82	79
PPP	78	98	99	92	90	79
QQQ	83	76	88	81	85	91
RRR	82	95	93	76	88	77
SSS	90	97	89	84	91	78
TTT	99	88	89	91	78	95
UUU	82	87	78	95	98	75
VVV	98	85	92	88	93	76
WWW	79	95	87	92	84	76
XXX	77	82	92	82	83	80
YYY	83	93	89	78	79	77
ZZZ	87	77	80	94	78	75
